ID	NAME	scl30a_18hWL_a-cRPKM	scl30a_18hWL_a-Counts	scl30a_18hWL_b-cRPKM	scl30a_18hWL_b-Counts	scl30a_18hWL_c-cRPKM	scl30a_18hWL_c-Counts	WT_18hWL_a-cRPKM	WT_18hWL_a-Counts	WT_18hWL_b-cRPKM	WT_18hWL_b-Counts	WT_18hWL_c-cRPKM	WT_18hWL_c-Counts
AT1G01010	NAC001	3.54	497	3.09	407	3.54	452	3.99	462	4.03	502	4.37	604
AT1G01020	ARV1	8.90	1199	6.48	821	8.44	1034	8.30	924	7.34	879	9.59	1273
AT1G01030	NGA3	1.14	181	1.17	175	1.48	214	2.02	265	1.92	271	2.01	314
AT1G01040	DCL1	12.40	6189	9.73	4562	12.37	5610	11.01	4535	11.05	4899	13.39	6582
AT1G01046	MIR838A	1.85	25	1.18	15	1.87	23	2.33	26	1.33	16	2.40	32
AT1G01050	PPA1	43.26	3281	47.12	3359	42.45	2927	40.40	2530	43.94	2960	40.70	3042
AT1G01060	LHY	7.80	1772	7.46	1593	7.88	1628	12.95	2431	13.30	2685	14.84	3324
AT1G01070	NA	0.20	20	0.23	22	0.15	14	0.48	41	0.43	39	0.45	45
AT1G01073	NA	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0
AT1G01080	NA	22.53	2455	19.54	2001	24.13	2390	28.32	2548	27.25	2638	27.92	2998
AT1G01090	PDH-E1 ALPHA	65.17	8804	66.20	8405	71.43	8771	76.30	8511	78.42	9410	80.25	10682
AT1G01100	RPP1A	801.27	29221	929.84	31873	693.45	22988	1008.90	30381	894.10	28963	768.67	27623
AT1G01110	IQD18	14.65	2168	14.55	2024	13.65	1836	15.39	1881	15.98	2101	15.17	2213
AT1G01115	NA	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0
AT1G01120	KCS1	2.00	317	1.86	276	1.95	280	1.21	158	1.38	194	1.03	160
AT1G01130	NA	5.73	159	5.60	146	5.00	126	4.58	105	4.83	119	5.01	137
AT1G01140	CIPK9	21.93	3099	19.32	2566	20.50	2634	22.05	2573	21.24	2667	22.93	3193
AT1G01150	NA	0.00	0	0.01	1	0.01	1	0.00	0	0.01	1	0.02	2
AT1G01160	GIF2	53.31	4929	55.49	4822	56.32	4733	52.63	4018	48.61	3992	49.68	4526
AT1G01170	NA	75.63	3017	81.26	3047	70.37	2552	69.73	2297	63.47	2249	55.46	2180
AT1G01180	NA	2.88	278	3.39	307	2.91	255	3.18	253	2.99	256	2.82	268
AT1G01183	MIR165A	0.45	2	0.00	0	0.49	2	0.00	0	0.00	0	0.00	0
AT1G01190	CYP78A8	0.00	0	0.01	1	0.04	5	0.02	2	0.02	2	0.00	0
AT1G01200	RABA3	5.02	401	4.73	355	4.79	348	4.40	290	3.97	282	4.12	324
AT1G01210	NA	42.34	1254	39.58	1102	38.33	1032	46.04	1126	35.27	928	40.39	1179
AT1G01220	FKGP	7.93	2321	7.35	2021	8.35	2222	8.80	2126	8.98	2334	9.22	2660
